iter	Passed	Remaining
0	157	157094
1	159	79762
2	162	53945
3	165	41100
4	167	33357
5	170	28180
6	172	24490
7	175	21736
8	178	19627
9	181	17932
10	182	16445
11	184	15173
12	186	14194
13	189	13350
14	192	12616
15	194	11974
16	196	11377
17	198	10837
18	200	10358
19	202	9915
20	204	9513
21	205	9142
22	207	8810
23	208	8497
24	210	8208
25	211	7940
26	213	7694
27	214	7458
28	216	7238
29	217	7032
30	219	6846
31	220	6667
32	221	6497
33	223	6339
34	224	6191
35	225	6051
36	227	5919
37	228	5791
38	230	5671
39	231	5557
40	233	5450
41	234	5346
42	235	5249
43	237	5155
44	238	5066
45	240	4979
46	241	4893
47	242	4812
48	243	4733
49	245	4659
50	246	4589
51	247	4514
52	249	4450
53	250	4389
54	251	4329
55	253	4272
56	255	4220
57	256	4165
58	257	4112
59	259	4060
60	260	4011
61	261	3951
62	262	3898
63	263	3854
64	264	3810
65	266	3771
66	268	3732
67	269	3695
68	271	3658
69	272	3622
70	274	3586
71	275	3552
72	276	3515
73	278	3482
74	279	3450
75	281	3420
76	282	3391
77	284	3362
78	286	3335
79	286	3300
80	288	3273
81	290	3246
82	291	3221
83	293	3195
84	294	3167
85	295	3143
86	297	3119
87	298	3096
88	299	3070
89	301	3047
90	302	3024
91	304	3002
92	305	2981
93	307	2961
94	308	2942
95	310	2923
96	312	2906
97	313	2888
98	315	2869
99	316	2850
100	318	2832
101	320	2817
102	321	2801
103	323	2786
104	324	2765
105	326	2749
106	327	2736
107	329	2721
108	331	2708
109	333	2695
110	335	2683
111	336	2671
112	338	2658
113	341	2651
114	342	2637
115	344	2624
116	346	2614
117	348	2603
118	349	2585
119	350	2573
120	352	2560
121	354	2547
122	355	2537
123	357	2525
124	358	2511
125	360	2498
126	361	2486
127	363	2474
128	364	2463
129	366	2452
130	367	2440
131	369	2429
132	370	2418
133	372	2406
134	373	2395
135	375	2385
136	376	2374
137	378	2364
138	380	2356
139	382	2347
140	384	2340
141	386	2332
142	387	2322
143	389	2313
144	390	2303
145	392	2293
146	393	2284
147	395	2278
148	397	2271
149	399	2263
150	401	2256
151	402	2247
152	404	2238
153	405	2229
154	407	2223
155	409	2215
156	411	2207
157	412	2200
158	414	2192
159	416	2184
160	417	2176
161	418	2166
162	420	2158
163	421	2151
164	423	2144
165	425	2137
166	426	2127
167	428	2120
168	429	2113
169	431	2107
170	433	2100
171	435	2094
172	437	2089
173	437	2078
174	439	2071
175	441	2064
176	442	2057
177	444	2050
178	445	2044
179	447	2038
180	449	2032
181	451	2027
182	452	2022
183	454	2016
184	456	2009
185	457	2003
186	459	1997
187	461	1991
188	462	1986
189	464	1980
190	466	1974
191	467	1968
192	469	1962
193	470	1956
194	472	1951
195	474	1946
196	476	1940
197	477	1935
198	479	1929
199	480	1923
200	482	1917
201	484	1912
202	485	1905
203	486	1899
204	489	1896
205	491	1893
206	492	1885
207	493	1880
208	495	1875
209	497	1871
210	499	1867
211	501	1862
212	502	1857
213	504	1853
214	506	1849
215	508	1845
216	510	1840
217	511	1836
218	513	1831
219	515	1825
220	516	1820
221	517	1815
222	519	1810
223	521	1805
224	522	1800
225	524	1795
226	525	1790
227	527	1785
228	528	1780
229	530	1775
230	531	1770
231	533	1765
232	535	1761
233	536	1757
234	538	1752
235	539	1747
236	541	1743
237	543	1738
238	544	1732
239	545	1728
240	547	1723
241	548	1717
242	549	1713
243	551	1708
244	552	1703
245	554	1698
246	555	1694
247	556	1688
248	558	1684
249	559	1679
250	561	1675
251	562	1670
252	564	1666
253	565	1662
254	567	1657
255	568	1653
256	570	1649
257	571	1644
258	573	1640
259	574	1636
260	576	1631
261	577	1628
262	579	1624
263	581	1621
264	583	1617
265	584	1613
266	586	1610
267	588	1606
268	589	1602
269	591	1599
270	593	1595
271	594	1591
272	596	1587
273	597	1583
274	599	1579
275	600	1576
276	602	1572
277	603	1568
278	605	1564
279	607	1561
280	608	1557
281	610	1554
282	612	1551
283	614	1548
284	615	1545
285	617	1541
286	619	1538
287	620	1535
288	622	1531
289	624	1528
290	625	1524
291	627	1521
292	628	1517
293	630	1514
294	632	1511
295	634	1508
296	635	1505
297	637	1502
298	639	1498
299	641	1495
300	642	1492
301	643	1488
302	645	1484
303	647	1482
304	649	1478
305	650	1475
306	651	1471
307	653	1467
308	655	1464
309	656	1462
310	658	1459
311	660	1456
312	662	1453
313	663	1450
314	665	1447
315	666	1443
316	668	1441
317	670	1437
318	672	1434
319	673	1430
320	674	1426
321	676	1424
322	678	1421
323	679	1418
324	681	1415
325	682	1411
326	684	1408
327	686	1405
328	687	1401
329	688	1398
330	690	1395
331	691	1392
332	693	1389
333	695	1385
334	696	1382
335	698	1379
336	699	1376
337	701	1373
338	702	1369
339	704	1366
340	705	1363
